"data","method","sample_size","time.taken","RMSE","MAE"
"abalone","anovadot",100,0.029679656,2.4203411785,1.704446328
"abalone","anovadot",400,0.180165529,2.198678073,1.557142687
"abalone","anovadot",700,0.649839401,2.163414419,1.5667695335
"abalone","anovadot",1000,1.510223627,2.1587915285,1.553025732
"abalone","anovadot",1300,2.9395449165,34.14674693,31.33138607
"abalone","anovadot",1600,5.0426578525,62.09602462,56.07493256
"abalone","anovadot",1900,8.0622576475,143.54627545,133.79002375
"abalone","anovadot",2200,12.37813234,195.1112797,178.97081425
"abalone","anovadot",2500,18.644358035,169.96421629,164.5202002
"abalone","anovadot",2800,25.85651696,130.9702961,114.937121855
"abalone","anovadot",3100,36.01145041,46.43963055,39.11797228
"abalone","anovadot",3341,44.775889395,20.31069184,17.13003185
"abalone","laplacedot",100,0.007778645,2.432117178,1.768578746
"abalone","laplacedot",400,0.088406563,2.228671379,1.575071684
"abalone","laplacedot",700,0.382641315,2.180642498,1.505890106
"abalone","laplacedot",1000,0.966947317,2.111779928,1.544650137
"abalone","laplacedot",1300,1.980760813,2.123922157,1.516832587
"abalone","laplacedot",1600,3.542718887,2.105057415,1.487248682
"abalone","laplacedot",1900,6.605366945,2.098208967,1.48941521
"abalone","laplacedot",2200,10.37061334,2.093161581,1.489336049
"abalone","laplacedot",2500,15.24010468,2.099410071,1.482769025
"abalone","laplacedot",2800,22.57447743,2.086245256,1.484154982
"abalone","laplacedot",3100,30.57586503,2.083589909,1.483651194
"abalone","laplacedot",3341,38.17446065,2.081576949,1.481103539
"abalone","rbfdot",100,0.006347895,2.431441557,1.694606764
"abalone","rbfdot",400,0.069100857,2.242418466,1.594303504
"abalone","rbfdot",700,0.321673393,2.194995194,1.521986566
"abalone","rbfdot",1000,0.865071297,2.134877664,1.508113981
"abalone","rbfdot",1300,1.781374693,2.134868164,1.51952599
"abalone","rbfdot",1600,3.175047874,2.103130143,1.504620128
"abalone","rbfdot",1900,5.788626432,2.104594187,1.496007003
"abalone","rbfdot",2200,9.356317043,2.099014717,1.498591145
"abalone","rbfdot",2500,14.3224144,2.089655765,1.49385473
"abalone","rbfdot",2800,20.40778542,2.093742457,1.49228553
"abalone","rbfdot",3100,28.92046571,2.088547608,1.484423085
"abalone","rbfdot",3341,37.50506973,2.08838054,1.490516268
"abalone","vanilladot",100,0.0049006935,2.269800894,1.6129260705
"abalone","vanilladot",400,0.0548875335,2.2026453505,1.5793523025
"abalone","vanilladot",700,0.283991933,2.179084809,1.5769220655
"abalone","vanilladot",1000,0.7714767455,2.1726301955,1.5640510125
"abalone","vanilladot",1300,1.640514374,2.174641619,1.561020307
"abalone","vanilladot",1600,3.169622779,2.185388724,1.56089547
"abalone","vanilladot",1900,5.397994995,2.1723759485,1.5609029195
"abalone","vanilladot",2200,8.8670169115,2.172229079,1.559847688
"abalone","vanilladot",2500,14.07968569,2.1865146435,1.5662790075
"abalone","vanilladot",2800,20.245560885,2.1871779255,1.567681569
"abalone","vanilladot",3100,28.226425765,2.1851808465,1.564025533
"abalone","vanilladot",3341,36.46106696,2.18377111,1.565239668
"airplane","laplacedot",100,0.0195584297180176,1.10138695715706,0.800509590337667
"airplane","laplacedot",1100,1.29404163360596,0.984058250881856,0.621521372972085
"airplane","laplacedot",2100,7.59459376335144,0.978664890179714,0.646774375202058
"airplane","laplacedot",3100,26.8625257015228,0.978474420508739,0.645880289418558
"airplane","laplacedot",4100,65.5249462127686,0.976539989867142,0.625410098822022
"airplane","laplacedot",5100,126.530966758728,0.974122264412506,0.636437881985103
"airplane","laplacedot",6100,213.3379342556,0.97308698624586,0.62735736655749
"airplane","laplacedot",7100,334.970348358154,0.974479329453518,0.627029441386763
"airplane","laplacedot",8100,492.653297901154,0.973720872722137,0.628040861646978
"airplane","laplacedot",9100,704.927627801895,0.973423886918506,0.626355090114292
"airplane","laplacedot",10100,955.315712690353,0.972075792173274,0.630445486523328
"airplane","laplacedot",11100,1254.30784511566,0.971797984385148,0.634702765738566
"airplane","laplacedot",12100,1615.70880746841,0.971177361391552,0.626304896068664
"airplane","laplacedot",13100,2049.70260047913,0.971279123686325,0.624617564268133
"airplane","rbfdot",100,0.0198866128921509,1.10138695715706,0.800509590337667
"airplane","rbfdot",1100,1.27999651432037,0.984058250881856,0.621521372972085
"airplane","rbfdot",2100,7.18056333065033,0.978664890179714,0.646774375202058
"airplane","rbfdot",3100,27.0478788614273,0.978474420508739,0.645880289418558
"airplane","rbfdot",4100,65.6920047998429,0.976539989867142,0.625410098822022
"airplane","rbfdot",5100,126.84266602993,0.974122264412506,0.636437881985103
"airplane","rbfdot",6100,214.49348962307,0.97308698624586,0.62735736655749
"airplane","rbfdot",7100,335.365400791168,0.974479329453518,0.627029441386763
"airplane","rbfdot",8100,493.773842811584,0.973720872722137,0.628040861646978
"airplane","rbfdot",9100,706.235341548919,0.973423886918506,0.626355090114292
"airplane","rbfdot",10100,956.069022417068,0.972075792173274,0.630445486523328
"airplane","rbfdot",11100,1256.59042215347,0.971797984385148,0.634702765738566
"airplane","rbfdot",12100,1616.52189481259,0.971177361391552,0.626304896068664
"airplane","rbfdot",13100,2050.35060441494,0.971279123686325,0.624617564268133
"airplane","rbfdot",14100,2558.96414840221,0.970675800738984,0.627773196830767
"airplane","rbfdot",15100,3128.27742183208,0.97018973783959,0.630139932431372
"airplane","rbfdot",16100,3782.93741750717,0.970621737801766,0.62479689307823
"airplane","vanilladot",100,0.0200085639953613,1.10138695715706,0.800509590337667
"airplane","vanilladot",1100,1.28159594535828,0.984058250881856,0.621521372972085
"airplane","vanilladot",2100,7.41582703590393,0.978664890179714,0.646774375202058
"airplane","vanilladot",3100,26.4214971065521,0.978474420508739,0.645880289418558
"airplane","vanilladot",4100,65.429575920105,0.976539989867142,0.625410098822022
"airplane","vanilladot",5100,126.645184993744,0.974122264412506,0.636437881985103
"airplane","vanilladot",6100,214.156270503998,0.97308698624586,0.62735736655749
"airplane","vanilladot",7100,335.645067214966,0.974479329453518,0.627029441386763
"airplane","vanilladot",8100,491.803214550018,0.973720872722137,0.628040861646978
"airplane","vanilladot",9100,710.101477384567,0.973423886918506,0.626355090114292
"airplane","vanilladot",10100,961.410272836685,0.972075792173274,0.630445486523328
"airplane","vanilladot",11100,1264.57208323479,0.971797984385148,0.634702765738566
"airplane","vanilladot",12100,1626.49810242653,0.971177361391552,0.626304896068664
"airplane","vanilladot",13100,2061.3501200676,0.971279123686325,0.624617564268133
"airplane","vanilladot",14100,2571.3182926178,0.970675800738984,0.627773196830767
"airplane","vanilladot",15100,3141.80675458908,0.97018973783959,0.630139932431372
"SARCOS","laplacedot",100,0.036973476,6.033177594,4.318668099
"SARCOS","laplacedot",600,0.41256547,5.757342207,4.02304524
"SARCOS","laplacedot",1100,1.306790352,5.616997175,3.973141753
"SARCOS","laplacedot",1600,3.658359289,5.645587197,3.967903964
"SARCOS","laplacedot",2100,8.160810947,5.61953208,3.988198292
"SARCOS","laplacedot",2600,15.1372242,5.605110557,3.96532192
"SARCOS","laplacedot",3100,27.88994694,5.597025785,3.956370315
"SARCOS","laplacedot",3600,44.00450754,5.597783756,3.931568926
"SARCOS","laplacedot",4100,65.79768419,5.592104867,3.942205639
"SARCOS","laplacedot",4600,93.50508428,5.593097882,3.948113893
"SARCOS","laplacedot",5100,127.1484709,5.595194015,3.9663674
"SARCOS","laplacedot",5600,164.9374762,5.593963493,3.93645809
"SARCOS","laplacedot",6100,213.7506151,5.587393382,3.951309047
"SARCOS","laplacedot",6600,268.3685939,5.589639836,3.951170007
"SARCOS","laplacedot",7100,334.9282172,5.584030652,3.938777894
"SARCOS","laplacedot",7600,406.6606915,5.58359433,3.943376882
"SARCOS","laplacedot",8100,491.7294211,5.584767326,3.940107531
"SARCOS","laplacedot",8600,589.1047933,5.580931066,3.946738838
"SARCOS","laplacedot",9100,704.0939484,5.581876181,3.93492075
"SARCOS","laplacedot",9600,823.5789964,5.581426853,3.938266958
"SARCOS","laplacedot",10100,953.6887829,5.577997301,3.946212575
"SARCOS","laplacedot",10600,1138.499715,5.581587496,3.952106717
"SARCOS","laplacedot",11100,1307.768817,5.578177141,3.941489039
"SARCOS","laplacedot",11600,1486.648295,5.578511937,3.947607405
"SARCOS","laplacedot",12100,1690.231982,5.58329297,3.948928867
"SARCOS","laplacedot",12600,1909.804255,5.578807765,3.944661649
"SARCOS","laplacedot",13100,2154.096011,5.576710958,3.955495949
"SARCOS","laplacedot",13600,2398.770425,5.581765449,3.948830233
"SARCOS","laplacedot",14100,2692.982287,5.576218173,3.94400893
"SARCOS","laplacedot",14600,2988.469974,5.579521555,3.942724442
"SARCOS","laplacedot",15100,3298.534234,5.577211569,3.94028037
"SARCOS","laplacedot",15600,3495.265439,5.577457626,3.939153813
"SARCOS","laplacedot",16100,3789.574707,5.57898873,3.944513027
"SARCOS","laplacedot",16600,4198.1369,5.579622538,3.94573485
"SARCOS","laplacedot",17100,4587.161586,5.577296508,3.949766525
"SARCOS","laplacedot",17600,4961.688071,5.577809627,3.94580079
"SARCOS","laplacedot",18100,5428.62894,5.577656507,3.939365279
"SARCOS","rbfdot",100,0.11386466,14.19963826,9.3163075505
"SARCOS","rbfdot",600,0.371691942,7.846938133,4.966765641
"SARCOS","rbfdot",1100,1.683328867,6.664954702,4.159966851
"SARCOS","rbfdot",1600,3.207813978,5.985382991,3.85920764
"SARCOS","rbfdot",2100,7.793009758,5.454226709,3.5053485305
"SARCOS","rbfdot",2600,16.57521868,5.220799217,3.467796677
"SARCOS","rbfdot",3100,28.14861441,4.927879752,3.154007894
"SARCOS","rbfdot",3600,45.20437407,4.709701776,3.108043413
"SARCOS","rbfdot",4100,67.17183113,4.495762496,2.971850612
"SARCOS","rbfdot",4600,96.29787159,4.431301108,2.925874629
"SARCOS","rbfdot",5100,128.6793897,4.272697984,2.838595927
"SARCOS","rbfdot",5600,168.9210527,4.056524587,2.782964098
"SARCOS","rbfdot",6100,216.234396,4.11724252,2.743987857
"SARCOS","rbfdot",6600,272.6428258,3.992399866,2.671297906
"SARCOS","rbfdot",7100,338.4584196,3.897380068,2.614050949
"SARCOS","rbfdot",7600,418.4536216,3.82072703,2.60589659
"SARCOS","rbfdot",8100,497.8863256,3.829970297,2.5930156145
"SARCOS","rbfdot",8600,606.0871251,3.800582005,2.57575837
"SARCOS","rbfdot",9100,711.2097611,3.737892618,2.4936193135
"SARCOS","rbfdot",9600,843.4611294,3.646516981,2.492373845
"SARCOS","rbfdot",10100,962.4863396,3.654460051,2.482122249
"SARCOS","rbfdot",10600,1121.975082,3.550011471,2.429618407
"SARCOS","rbfdot",11100,1264.635294,3.552239872,2.4322678455
"SARCOS","rbfdot",11600,1454.708223,3.557887411,2.421790277
"SARCOS","rbfdot",12100,1628.518885,3.577760832,2.399215724
"SARCOS","rbfdot",12600,1862.107658,3.49523804,2.401887767
"SARCOS","rbfdot",13100,2061.000457,3.488914754,2.356064592
"SARCOS","rbfdot",13600,2300.785616,3.44438681,2.35380109
"SARCOS","rbfdot",14100,2568.591264,3.451575451,2.347208528
"SARCOS","vanilladot",100,0.036973476,6.033177594,4.318668099
"SARCOS","vanilladot",600,0.41256547,5.757342207,4.02304524
"SARCOS","vanilladot",1100,1.306790352,5.616997175,3.973141753
"SARCOS","vanilladot",1600,3.658359289,5.645587197,3.967903964
"SARCOS","vanilladot",2100,8.160810947,5.61953208,3.988198292
"SARCOS","vanilladot",2600,15.1372242,5.605110557,3.96532192
"SARCOS","vanilladot",3100,27.88994694,5.597025785,3.956370315
"SARCOS","vanilladot",3600,44.00450754,5.597783756,3.931568926
"SARCOS","vanilladot",4100,65.79768419,5.592104867,3.942205639
"SARCOS","vanilladot",4600,93.50508428,5.593097882,3.948113893
"SARCOS","vanilladot",5100,127.1484709,5.595194015,3.9663674
"SARCOS","vanilladot",5600,164.9374762,5.593963493,3.93645809
"SARCOS","vanilladot",6100,213.7506151,5.587393382,3.951309047
"SARCOS","vanilladot",6600,268.3685939,5.589639836,3.951170007
"SARCOS","vanilladot",7100,334.9282172,5.584030652,3.938777894
"SARCOS","vanilladot",7600,406.6606915,5.58359433,3.943376882
"SARCOS","vanilladot",8100,491.7294211,5.584767326,3.940107531
"SARCOS","vanilladot",8600,589.1047933,5.580931066,3.946738838
"SARCOS","vanilladot",9100,704.0939484,5.581876181,3.93492075
"SARCOS","vanilladot",9600,823.5789964,5.581426853,3.938266958
"SARCOS","vanilladot",10100,953.6887829,5.577997301,3.946212575
"SARCOS","vanilladot",10600,1138.499715,5.581587496,3.952106717
"SARCOS","vanilladot",11100,1307.768817,5.578177141,3.941489039
"SARCOS","vanilladot",11600,1486.648295,5.578511937,3.947607405
"SARCOS","vanilladot",12100,1690.231982,5.58329297,3.948928867
"SARCOS","vanilladot",12600,1909.804255,5.578807765,3.944661649
"SARCOS","vanilladot",13100,2154.096011,5.576710958,3.955495949
"SARCOS","vanilladot",13600,2398.770425,5.581765449,3.948830233
"SARCOS","vanilladot",14100,2692.982287,5.576218173,3.94400893
"SARCOS","vanilladot",14600,2988.469974,5.579521555,3.942724442
"SARCOS","vanilladot",15100,3298.534234,5.577211569,3.94028037
"SARCOS","vanilladot",15600,3495.265439,5.577457626,3.939153813
"SARCOS","vanilladot",16100,3789.574707,5.57898873,3.944513027
"SARCOS","vanilladot",16600,4198.1369,5.579622538,3.94573485
"SARCOS","vanilladot",17100,4587.161586,5.577296508,3.949766525
"SARCOS","vanilladot",17600,4961.688071,5.577809627,3.94580079
"SARCOS","vanilladot",18100,5428.62894,5.577656507,3.939365279
